;0;3
0;rec507_20140228_13.28.10.csv;42
6;rec034_20090714_09.21.49.csv;71
7;rec037_20090722_12.18.39.csv;74
8;rec045_20091028_09.26.08.csv;100
10;rec057_20091229_09.20.33.csv;68
11;rec072_20100601_10.08.12.csv;49
15;rec093_20100623_09.31.05.csv;53
16;rec107_20140303_12.26.48.csv;82
17;rec107_20140303_12.31.58.csv;68
18;rec107_20140303_12.49.58.csv;55
19;rec115_20140411_12.38.25.csv;66
21;rec119_20140417_09.18.33.csv;68
22;rec121_20140423_10.55.21.csv;52
23;rec121_20140423_11.00.31.csv;60
24;rec122_20140423_15.36.48.csv;68
25;rec122_20140423_15.41.58.csv;74
26;rec122_20140423_15.52.18.csv;80
27;rec123_20140428_11.28.43.csv;65
28;rec123_20140428_11.49.23.csv;71
29;rec123_20140428_12.20.23.csv;73
30;rec123_20140428_12.25.33.csv;66
31;rec124_20140428_12.54.36.csv;72
32;rec124_20140428_13.04.56.csv;70
33;rec126_20140430_12.20.27.csv;72
34;rec126_20140430_12.41.07.csv;73
35;rec130_20140513_12.19.45.csv;72
36;rec130_20140513_12.35.15.csv;56
37;rec130_20140513_12.40.25.csv;72
38;rec132_20140520_12.00.39.csv;73
39;rec133_20140526_12.12.31.csv;49
45;rec139_20140717_11.42.35.csv;51
49;rec148_20140724_12.16.39.csv;69
50;rec151_20140729_11.15.02.csv;67
51;rec151_20140729_11.20.12.csv;53
53;rec155_20140801_12.37.47.csv;67
54;rec157_20140801_13.21.17.csv;69
61;rec177_20140829_11.39.52.csv;71
62;rec302_20140224_11.12.49.csv;56
63;rec303_20140224_12.35.29.csv;94
64;rec303_20140224_12.40.39.csv;98
65;rec303_20140224_12.50.59.csv;108
66;rec304_20140224_14.23.58.csv;84
67;rec304_20140224_15.56.58.csv;71
68;rec306_20140225_11.21.10.csv;70
69;rec306_20140225_11.26.20.csv;69
70;rec306_20140225_11.41.50.csv;74
71;rec306_20140225_11.52.10.csv;65
73;rec308_20140226_09.54.14.csv;48
74;rec308_20140226_10.04.34.csv;66
75;rec310_20140226_12.03.24.csv;86
76;rec311_20140228_09.55.57.csv;45
77;rec311_20140228_10.52.47.csv;68
78;rec317_20140307_09.23.32.csv;65
79;rec317_20140307_09.44.12.csv;95
80;rec320_20140311_12.12.43.csv;77
81;rec320_20140311_12.17.53.csv;70
82;rec324_20140423_09.27.20.csv;56
83;rec325_20140428_09.36.08.csv;86
85;rec504_20140227_14.33.40.csv;65
86;rec504_20140227_14.38.50.csv;77
87;rec507_20140228_13.33.20.csv;51
88;rec509_20140305_13.07.27.csv;96
89;rec509_20140305_13.48.47.csv;78
93;rec515_20140408_13.25.21.csv;95
94;rec515_20140408_13.30.31.csv;60
95;rec515_20140408_14.22.11.csv;89
96;rec518_20140410_12.16.41.csv;96
97;rec521_20140506_13.35.06.csv;56
98;rec521_20140506_14.42.16.csv;79
99;rec523_20140508_12.49.50.csv;95
100;rec523_20140508_12.55.00.csv;108
101;rec525_20140702_11.24.52.csv;54
