fragment;ai
rec002_20090430_10.09.49(0-15).csv;None
rec002_20090430_10.09.49(105-120).csv;None
rec002_20090430_10.09.49(120-135).csv;None
rec002_20090430_10.09.49(135-150).csv;None
rec002_20090430_10.09.49(15-30).csv;None
rec002_20090430_10.09.49(150-165).csv;None
rec002_20090430_10.09.49(165-180).csv;None
rec002_20090430_10.09.49(180-195).csv;None
rec002_20090430_10.09.49(195-210).csv;50.0
rec002_20090430_10.09.49(210-225).csv;50.0
rec002_20090430_10.09.49(225-240).csv;50.0
rec002_20090430_10.09.49(240-255).csv;50.0
rec002_20090430_10.09.49(255-270).csv;50.0
rec002_20090430_10.09.49(270-285).csv;50.0
rec002_20090430_10.09.49(285-300).csv;50.0
rec002_20090430_10.09.49(30-45).csv;None
rec002_20090430_10.09.49(300-315).csv;50.0
rec002_20090430_10.09.49(45-60).csv;None
rec002_20090430_10.09.49(60-75).csv;None
rec002_20090430_10.09.49(75-90).csv;None
rec002_20090430_10.09.49(90-105).csv;None
rec002_20090430_10.09.49(315-330).csv;50.0
rec002_20090430_10.09.49(330-345).csv;50.0
rec002_20090430_10.09.49(345-360).csv;50.0
rec002_20090430_10.09.49(360-375).csv;50.0
rec002_20090430_10.09.49(375-390).csv;50.0
rec002_20090430_10.09.49(390-405).csv;50.0
rec002_20090430_10.09.49(405-420).csv;50.0
rec002_20090430_10.09.49(420-435).csv;50.0
rec002_20090430_10.09.49(435-450).csv;50.0
rec002_20090430_10.09.49(450-465).csv;50.0
rec002_20090430_10.09.49(465-480).csv;50.0
rec002_20090430_10.09.49(480-495).csv;50.0
rec002_20090430_10.09.49(495-510).csv;50.0
rec002_20090430_10.09.49(510-525).csv;50.0
rec002_20090430_10.09.49(525-540).csv;50.0
rec002_20090430_10.09.49(540-555).csv;50.0
rec002_20090430_10.09.49(555-570).csv;50.0
rec002_20090430_10.09.49(570-585).csv;50.0
rec002_20090430_10.09.49(585-600).csv;50.0
rec002_20090430_10.09.49(600-615).csv;50.0
rec002_20090430_10.09.49(615-630).csv;50.0
rec002_20090430_10.09.49(630-645).csv;50.0
rec002_20090430_10.09.49(645-660).csv;50.0
rec002_20090430_10.09.49(660-675).csv;50.0
rec002_20090430_10.09.49(675-690).csv;50.0
rec002_20090430_10.09.49(690-705).csv;50.0
rec002_20090430_10.09.49(705-720).csv;50.0
rec002_20090430_10.09.49(720-735).csv;50.0
rec002_20090430_10.09.49(735-750).csv;50.0
rec002_20090430_10.09.49(750-765).csv;50.0
rec002_20090430_10.09.49(765-780).csv;50.0
rec002_20090430_10.09.49(780-795).csv;50.0
rec002_20090430_10.09.49(795-810).csv;50.0
rec002_20090430_10.09.49(810-825).csv;50.0
rec002_20090430_10.09.49(825-840).csv;50.0
rec002_20090430_10.09.49(840-855).csv;50.0
rec002_20090430_10.09.49(855-870).csv;50.0
rec002_20090430_10.09.49(870-885).csv;50.0
rec002_20090430_10.09.49(885-900).csv;50.0
rec002_20090430_10.09.49(900-915).csv;50.0
rec002_20090430_10.09.49(915-930).csv;50.0
rec002_20090430_10.09.49(930-945).csv;50.0
rec002_20090430_10.09.49(1005-1020).csv;50.0
rec002_20090430_10.09.49(1020-1035).csv;50.0
rec002_20090430_10.09.49(1035-1050).csv;50.0
rec002_20090430_10.09.49(1050-1065).csv;50.0
rec002_20090430_10.09.49(1065-1080).csv;50.0
rec002_20090430_10.09.49(1080-1095).csv;50.0
rec002_20090430_10.09.49(1095-1110).csv;50.0
rec002_20090430_10.09.49(1110-1125).csv;50.0
rec002_20090430_10.09.49(1125-1140).csv;50.0
rec002_20090430_10.09.49(1140-1155).csv;50.0
rec002_20090430_10.09.49(1155-1170).csv;50.0
rec002_20090430_10.09.49(1170-1185).csv;50.0
rec002_20090430_10.09.49(1185-1200).csv;50.0
rec002_20090430_10.09.49(1200-1215).csv;50.0
rec002_20090430_10.09.49(1215-1230).csv;50.0
rec002_20090430_10.09.49(1230-1245).csv;50.0
rec002_20090430_10.09.49(1245-1260).csv;50.0
rec002_20090430_10.09.49(945-960).csv;50.0
rec002_20090430_10.09.49(960-975).csv;50.0
rec002_20090430_10.09.49(975-990).csv;50.0
rec002_20090430_10.09.49(990-1005).csv;50.0
rec002_20090430_10.09.49(1260-1275).csv;50.0
rec002_20090430_10.09.49(1275-1290).csv;50.0
rec002_20090430_10.09.49(1290-1305).csv;50.0
rec002_20090430_10.09.49(1305-1320).csv;50.0
rec002_20090430_10.09.49(1320-1335).csv;50.0
rec002_20090430_10.09.49(1335-1350).csv;50.0
rec002_20090430_10.09.49(1350-1365).csv;50.0
rec002_20090430_10.09.49(1365-1380).csv;50.0
rec002_20090430_10.09.49(1380-1395).csv;50.0
rec002_20090430_10.09.49(1395-1410).csv;50.0
rec002_20090430_10.09.49(1410-1425).csv;50.0
rec002_20090430_10.09.49(1425-1440).csv;50.0
rec002_20090430_10.09.49(1440-1455).csv;50.0
rec002_20090430_10.09.49(1455-1470).csv;50.0
rec002_20090430_10.09.49(1470-1485).csv;50.0
rec002_20090430_10.09.49(1485-1500).csv;50.0
rec002_20090430_10.09.49(1500-1515).csv;50.0
rec002_20090430_10.09.49(1515-1530).csv;50.0
rec002_20090430_10.09.49(1530-1545).csv;50.0
rec002_20090430_10.09.49(1545-1560).csv;50.0
rec002_20090430_10.09.49(1560-1575).csv;50.0
rec002_20090430_10.09.49(1575-1590).csv;50.0
rec002_20090430_10.09.49(1590-1605).csv;50.0
rec002_20090430_10.09.49(1605-1620).csv;50.0
rec002_20090430_10.09.49(1620-1635).csv;50.0
